"","category","timePeriod","duration","definition","caption","madeForKids","views","likes","comments","viewsQuartile3","likesQuartile3","commentsQuartile3","likesQuartile9","commentsQuartile9","publishedAtMonth","publishedAtDay","publishedAtYear","age"
"386","science/tech","during",533,"hd","False","False",13.1602023671866,8.38799525294456,5.71702770140622,"2",1,2,"4","4",10,29,2020,17.6190112991155
"387","education","after",689,"hd","False","True",13.6603935780861,9.21910187764476,0,"2",2,1,"5","4",1,3,2022,15.849163625891
"388","comedy","after",205,"hd","True","False",14.5547074845088,10.3616716049765,6.80572255341699,"2",2,2,"6","5",10,10,2021,16.525448775641
"389","entertainment","after",436,"hd","True","False",13.829080074232,10.1700353614576,6.46458830368996,"2",2,2,"6","5",1,14,2022,15.7180911067968
"390","science/tech","during",111,"hd","True","False",13.7406706256854,10.0465917295046,7.26612877955645,"2",2,2,"5","6",5,18,2021,17.1299868841258
"391","comedy","after",273,"hd","True","False",14.1706552316365,10.0456813182393,7.01211529430638,"2",2,2,"5","5",10,24,2021,16.441811078677
"392","entertainment","during",1309,"hd","True","False",14.5605882048746,9.44390938877397,5.64544689764324,"2",2,2,"5","4",5,31,2021,17.0887604328155
"393","education","after",105,"hd","False","False",13.1455641460414,3.8286413964891,1.6094379124341,"2",1,1,"4","4",11,19,2021,16.2607990022761
"394","news/politics","after",240,"hd","False","False",14.0509446699535,11.3455713352981,7.71512360363211,"2",3,3,"6","6",10,21,2021,16.4554219513347
"395","news/politics","during",376,"hd","False","False",13.2178226370048,8.92025541490809,7.15461535691366,"2",2,2,"4","6",3,7,2021,17.3343540770238
"396","entertainment","after",917,"hd","False","False",14.3740949570582,10.2977905959381,9.16261963576477,"2",2,3,"6","6",2,13,2022,15.2362036887931
"397","news/politics","before",111,"hd","False","False",14.1300796627735,10.563233056462,7.89692465626886,"2",2,3,"6","6",7,15,2019,18.2659496457149
"398","science/tech","before",171,"hd","False","False",12.7747217952333,8.02387999273488,7.68294316987829,"2",1,3,"4","6",1,30,2020,18.0419811862186
"399","science/tech","during",111,"hd","False","False",13.3172983824709,10.8213570375235,7.36960072052641,"2",3,2,"6","6",1,31,2021,17.4194200771997
"400","entertainment","after",1230,"hd","False","False",12.7525539815322,7.90174751852014,4.14313472639153,"2",1,1,"4","4",1,27,2022,15.5388825081569
"401","education","after",297,"hd","True","False",13.3617817720684,10.1570827113062,6.50578406012823,"2",2,2,"5","5",2,14,2022,15.206197258622
"402","science/tech","after",601,"hd","False","False",13.0014988488216,8.84707231256781,6.86484777797086,"2",2,2,"4","5",12,28,2021,15.9135325342886
"403","science/tech","before",163,"hd","False","False",13.1491143579061,8.37976851550457,5.35185813347607,"2",1,1,"4","4",5,22,2019,18.3195638558014
"404","music","after",238,"hd","True","False",18.9062601817845,14.3684498217172,10.8342135922065,"3",3,3,"9","9",9,9,2021,16.6858829892202
"405","music","after",258,"hd","False","False",17.0789006373637,13.5535378168415,10.5579978494812,"3",3,3,"9","9",9,30,2021,16.5816778946673
"406","music","before",288,"hd","False","False",17.4714359424341,13.4910164957211,9.43260353586309,"3",3,3,"9","9",2,15,2019,18.4069142592377
"407","education","after",266,"hd","False","False",14.9664454943873,9.9083755866089,5.46806014113513,"3",2,1,"7","7",2,8,2022,15.3267612759535
"408","music","during",202,"hd","False","False",16.6176651212558,12.134001827737,7.67832635650689,"3",3,3,"8","7",5,15,2020,17.8990770953891
"409","music","before",162,"hd","False","False",16.6487719596892,12.2262575526893,8.00336305862995,"3",3,3,"8","7",7,12,2019,18.269485657054
"410","science/tech","during",91,"hd","True","False",15.4463335704141,10.995696047281,8.24249315318763,"3",3,3,"7","8",3,3,2021,17.345903236628
"411","comedy","before",450,"hd","True","False",16.2425047744169,13.5422480224903,10.0533289607753,"3",3,3,"9","9",2,25,2020,18.0091762152022
"412","science/tech","during",201,"hd","True","False",15.3376003094307,10.7875856165881,6.31354804627709,"3",2,2,"7","7",11,20,2020,17.5763756407964
"413","music","before",213,"hd","False","False",15.5630100113884,11.4443146633424,7.46622755621548,"3",3,2,"7","7",7,12,2019,18.2694856686863
"414","comedy","before",242,"hd","True","False",15.7909983717739,13.0577715215112,8.95531908176395,"3",3,3,"9","8",2,25,2020,18.0091589812854
"415","music","during",186,"hd","False","False",16.7080159269814,12.6256937497226,8.93326847863642,"3",3,3,"8","8",12,26,2020,17.5019467296932
"416","science/tech","after",121,"hd","True","False",19.28781471847,12.0349758546766,9.07520769798469,"3",3,3,"8","8",12,8,2021,16.1102195154739
"417","comedy","before",183,"hd","True","False",16.1973362216214,12.6128202642033,8.52615293278771,"3",3,3,"8","8",6,27,2019,18.2844038258196
"418","music","before",226,"hd","True","False",15.6583885896485,12.3829628123269,8.83913175254611,"3",3,3,"8","8",2,10,2020,18.0275458552869
"419","comedy","after",156,"hd","True","False",15.2119010313899,11.4615163744049,8.43315919580623,"3",3,3,"7","8",11,14,2021,16.3007355737351
"420","music","during",274,"hd","True","False",17.9468115731182,12.9531112424339,9.41962837699995,"3",3,3,"9","9",9,26,2020,17.6811963043899
"421","science/tech","after",121,"hd","True","False",14.8673362240324,6.51025834052315,4.17438726989564,"3",1,1,"7","7",12,15,2021,16.0504145972335
"422","music","after",235,"hd","False","False",14.8894441506118,11.0919862479988,7.56941179245071,"3",3,3,"7","7",9,16,2021,16.6539559556319
"423","music","after",175,"hd","False","False",17.0614230557217,13.1132580494356,10.3238084318763,"3",3,3,"9","9",1,5,2022,15.8314983232915
"424","comedy","before",137,"hd","True","False",15.6936107070927,11.2353785247766,7.63143166457691,"3",3,3,"7","7",9,20,2019,18.1965498428688
"425","comedy","before",204,"hd","True","False",15.3606859644984,11.5172461174936,8.07589363029886,"3",3,3,"7","8",1,26,2019,18.424425702832
"426","music","during",178,"hd","False","False",15.8657482893855,11.8781795030169,8.25686684897431,"3",3,3,"8","8",9,30,2020,17.6740818992946
"427","music","after",213,"hd","True","False",18.4214102677851,14.522142903592,11.3284014846211,"3",3,3,"9","9",10,8,2021,16.5372262922122
"428","music","after",210,"hd","False","False",15.7037639000949,11.8949103918626,8.3466420902212,"3",3,3,"8","8",10,1,2021,16.5750880627384
"429","comedy","after",335,"hd","True","False",15.3830536088954,11.4340445821168,7.76387128782022,"3",3,3,"7","7",12,12,2021,16.0750810460905
"430","music","during",200,"hd","True","False",16.1721847035692,11.8912249050056,8.78844095740459,"3",3,3,"8","8",6,1,2021,17.0855504128658
"431","music","after",238,"hd","False","False",15.4036173715845,11.6140098510036,8.39117635083275,"3",3,3,"7","8",2,24,2022,14.98177059162
"432","music","after",191,"hd","True","False",14.9103035624429,11.1956772569167,7.8087293067444,"3",3,3,"7","7",10,1,2021,16.5734907178676
"433","music","during",151,"hd","False","False",16.6145964830537,12.7193632287858,9.2610334862917,"3",3,3,"8","8",10,30,2020,17.6186466372515
"434","comedy","before",451,"hd","True","False",16.1127745188121,12.2291200029912,8.51117511909067,"3",3,3,"8","8",12,13,2019,18.1012879457984
"435","comedy","before",380,"hd","True","False",15.3627085321605,11.311946944357,7.14440718032114,"3",3,2,"7","7",5,22,2019,18.3192324655049
"436","comedy","during",198,"hd","True","False",15.0016079447318,11.2224795766957,7.36073990305828,"3",3,2,"7","7",3,19,2021,17.3043339748972
